Symbol,isin,bse_code,name,industry,market_cap_category,Index
360ONE,INE466L01038,542772,360 ONE WAM Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
3MINDIA,INE470A01017,523395,3M India Ltd.,Diversified,mid_small_cap,nifty_midsmallcap400
ACC,INE012A01025,500410,ACC Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
ACMESOLAR,INE622W01025,544290,ACME Solar Holdings Ltd.,Power,mid_small_cap,nifty_midsmallcap400
AIAENG,INE212H01026,532683,AIA Engineering Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
APLAPOLLO,INE702C01027,533758,APL Apollo Tubes Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
AUBANK,INE949L01017,540611,AU Small Finance Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
AWL,INE699H01024,Unlisted,AWL Agri Business Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
AADHARHFC,INE883F01010,544176,Aadhar Housing Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
AARTIIND,INE769A01020,524208,Aarti Industries Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
AAVAS,INE216P01012,541988,Aavas Financiers Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ABBOTINDIA,INE358A01014,500488,Abbott India Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ACE,INE731H01025,532762,Action Construction Equipment Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ACUTAAS,INE00FF01025,Unlisted,Acutaas Chemicals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ATGL,INE399L01023,542066,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
ABCAPITAL,INE674K01013,540691,Aditya Birla Capital Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ABFRL,INE647O01011,533156,Aditya Birla Fashion and Retail Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
ABLBL,INE14LE01019,Unlisted,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
ABREL,INE055A01016,500040,Aditya Birla Real Estate Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
ABSLAMC,INE404A01024,543374,Aditya Birla Sun Life AMC Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CPPLUS,INE819V01029,Unlisted,Aditya Infotech Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
AEGISLOG,INE208C01025,500003,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
AEGISVOPAK,INE0INX01018,Unlisted,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
AFCONS,INE101I01011,544284,Afcons Infrastructure Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
AFFLE,INE00WC01027,542752,Affle 3i Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
AJANTPHARM,INE031B01049,532331,Ajanta Pharmaceuticals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ALKEM,INE540L01014,539523,Alkem Laboratories Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ABDL,INE552Z01027,544199,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
ARE&M,INE885A01032,500008,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
AMBER,INE371P01015,540902,Amber Enterprises India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
ANANDRATHI,INE463V01026,543415,Anand Rathi Wealth Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ANANTRAJ,INE242C01024,515055,Anant Raj Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
ANGELONE,INE732I01021,543235,Angel One Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ANTHEM,INE0CZ201020,Unlisted,Anthem Biosciences Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ANURAS,INE930P01018,543275,Anupam Rasayan India Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
APARINDS,INE372A01015,532259,Apar Industries Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
APOLLOTYRE,INE438A01022,500877,Apollo Tyres Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
APTUS,INE852O01025,543336,Aptus Value Housing Finance India Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ASAHIINDIA,INE439A01020,515030,Asahi India Glass Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
ASHOKLEY,INE208A01029,500477,Ashok Leyland Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ASTERDM,INE914M01019,540975,Aster DM Healthcare Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ASTRAL,INE006I01046,532830,Astral Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ATHERENERG,INE0LEZ01016,Unlisted,Ather Energy Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
ATUL,INE100A01010,500027,Atul Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
AUROPHARMA,INE406A01037,524804,Aurobindo Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
AIIL,INE206F01022,539177,Authum Investment & Infrastructure Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
BEML,INE258A01024,500048,BEML Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
BLS,INE153T01027,540073,BLS International Services Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
BSE,INE118H01025,543238,BSE Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
BAJAJHFL,INE377Y01014,544244,Bajaj Housing Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
