[2026-06-15 13:19:41,986] [ERROR] [__main__] Pipeline failed: name 'run_pipeline' is not defined
[2026-07-07 19:26:49,834] [INFO] [__main__] Initiating first-run bootstrap workflow...
[2026-07-07 19:26:49,842] [ERROR] [__main__] Error reading universe CSV: 'float' object has no attribute 'strip'
[2026-07-07 19:52:14,286] [INFO] [__main__] Initiating first-run bootstrap workflow...
[2026-07-07 19:52:14,288] [INFO] [__main__] Running discover stage for 360ONE
[2026-07-07 19:52:14,288] [INFO] [__main__] [2026-07-07T19:52:14.288780] [START] [360ONE] discover stage
[2026-07-07 19:52:14,288] [INFO] [__main__] Discover stage for 360ONE
[2026-07-07 19:52:14,288] [INFO] [__main__] [2026-07-07T19:52:14.288873] [DONE] [360ONE] discover stage completed
[2026-07-07 19:52:14,288] [INFO] [__main__] Running numeric stage for 360ONE
[2026-07-07 19:52:14,288] [INFO] [__main__] [2026-07-07T19:52:14.288963] [START] [360ONE] numeric stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289022] [SKIP] [360ONE] numeric stage (output exists)
[2026-07-07 19:52:14,289] [INFO] [__main__] Running document stage for 360ONE
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289116] [START] [360ONE] document stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289164] [SKIP] [360ONE] document stage (output exists)
[2026-07-07 19:52:14,289] [INFO] [__main__] Running convert stage for 360ONE
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289250] [START] [360ONE] convert stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [Convert] [360ONE] processing
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289313] [DONE] [360ONE] convert stage completed
[2026-07-07 19:52:14,289] [INFO] [__main__] Running clean stage for 360ONE
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289395] [START] [360ONE] clean stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289439] [SKIP] [360ONE] clean stage (output exists)
[2026-07-07 19:52:14,289] [INFO] [__main__] Running chunk stage for 360ONE
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289515] [START] [360ONE] chunk stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289556] [SKIP] [360ONE] chunk stage (output exists)
[2026-07-07 19:52:14,289] [INFO] [__main__] Running normalize stage for 360ONE
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289633] [START] [360ONE] normalize stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [Normalize] [360ONE] processing
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289693] [DONE] [360ONE] normalize stage completed
[2026-07-07 19:52:14,289] [INFO] [__main__] Running discover stage for 3MINDIA
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289748] [START] [3MINDIA] discover stage
[2026-07-07 19:52:14,289] [INFO] [__main__] Discover stage for 3MINDIA
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289808] [DONE] [3MINDIA] discover stage completed
[2026-07-07 19:52:14,289] [INFO] [__main__] Running numeric stage for 3MINDIA
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289859] [START] [3MINDIA] numeric stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289902] [SKIP] [3MINDIA] numeric stage (output exists)
[2026-07-07 19:52:14,289] [INFO] [__main__] Running document stage for 3MINDIA
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289953] [START] [3MINDIA] document stage
[2026-07-07 19:52:14,289] [INFO] [__main__] [2026-07-07T19:52:14.289993] [SKIP] [3MINDIA] document stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running convert stage for 3MINDIA
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290039] [START] [3MINDIA] convert stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [Convert] [3MINDIA] processing
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290098] [DONE] [3MINDIA] convert stage completed
[2026-07-07 19:52:14,290] [INFO] [__main__] Running clean stage for 3MINDIA
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290152] [START] [3MINDIA] clean stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290190] [SKIP] [3MINDIA] clean stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running chunk stage for 3MINDIA
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290238] [START] [3MINDIA] chunk stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290276] [SKIP] [3MINDIA] chunk stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running normalize stage for 3MINDIA
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290323] [START] [3MINDIA] normalize stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [Normalize] [3MINDIA] processing
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290380] [DONE] [3MINDIA] normalize stage completed
[2026-07-07 19:52:14,290] [INFO] [__main__] Running discover stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290428] [START] [ACC] discover stage
[2026-07-07 19:52:14,290] [INFO] [__main__] Discover stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290481] [DONE] [ACC] discover stage completed
[2026-07-07 19:52:14,290] [INFO] [__main__] Running numeric stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290528] [START] [ACC] numeric stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290566] [SKIP] [ACC] numeric stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running document stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290616] [START] [ACC] document stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290654] [SKIP] [ACC] document stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running convert stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290702] [START] [ACC] convert stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [Convert] [ACC] processing
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290757] [DONE] [ACC] convert stage completed
[2026-07-07 19:52:14,290] [INFO] [__main__] Running clean stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290804] [START] [ACC] clean stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290855] [SKIP] [ACC] clean stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running chunk stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290902] [START] [ACC] chunk stage
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290937] [SKIP] [ACC] chunk stage (output exists)
[2026-07-07 19:52:14,290] [INFO] [__main__] Running normalize stage for ACC
[2026-07-07 19:52:14,290] [INFO] [__main__] [2026-07-07T19:52:14.290990] [START] [ACC] normalize stage
